auc,binary_accuracy,loss,precision,recall,specificity_at_sensitivity,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall,val_specificity_at_sensitivity,learning_rate
0.6725132465362549,0.9619711637496948,0.10943985730409622,0.326765775680542,0.3242410123348236,0.9377521872520447,0.5982145667076111,0.9717395305633545,0.12459484487771988,0.4952450692653656,0.21189358830451965,0.9549496173858643,0.007776271086186171
0.7713771462440491,0.9797379374504089,0.06452763825654984,0.7480572462081909,0.4282369613647461,0.9928878545761108,0.6770309805870056,0.9756509065628052,0.10960733145475388,0.5865809321403503,0.45696401596069336,0.9852340221405029,0.009912088513374329
0.8012431263923645,0.9806168079376221,0.060504283756017685,0.7592141032218933,0.4614063799381256,0.9944232702255249,0.7632690072059631,0.9805842638015747,0.06364355236291885,0.7547557950019836,0.45946791768074036,0.9942349791526794,0.009488619863986969
0.8196450471878052,0.9813323616981506,0.05803302675485611,0.7716118693351746,0.48345431685447693,0.9953290224075317,0.716774582862854,0.9767520427703857,0.10059072077274323,0.6207645535469055,0.44726133346557617,0.9900381565093994,0.008743681944906712
0.8376733064651489,0.981785237789154,0.055507514625787735,0.7780078053474426,0.4986341893672943,0.9958086013793945,0.7732645273208618,0.9773070216178894,0.06890877336263657,0.6576668620109558,0.40406885743141174,0.988678514957428,0.007730633951723576
0.8438686728477478,0.9822537302970886,0.05364726111292839,0.7822209000587463,0.5167798399925232,0.9962779879570007,0.7970179319381714,0.9789369106292725,0.06004824861884117,0.7410072088241577,0.38685446977615356,0.9927484393119812,0.006522035226225853
0.8543701171875,0.9827471375465393,0.05175338685512543,0.7908356189727783,0.5307109951972961,0.9966303110122681,0.7853810787200928,0.9811393022537231,0.06211915239691734,0.7699795365333557,0.47042253613471985,0.9949783086776733,0.005204454530030489
0.8659337759017944,0.9829732179641724,0.050307538360357285,0.7920242547988892,0.5401935577392578,0.9968269467353821,0.8031833171844482,0.9813945293426514,0.05548947677016258,0.7663551568984985,0.487636923789978,0.9952049255371094,0.0038722651079297066
0.886734127998352,0.983460545539856,0.04843195900321007,0.7978407740592957,0.5565831661224365,0.9971905946731567,0.8168362379074097,0.9816855192184448,0.055383987724781036,0.7735294103622437,0.4938967227935791,0.9956672191619873,0.00262088724412024
0.8863939046859741,0.9839198589324951,0.04669203609228134,0.8064926862716675,0.5680949091911316,0.9975554347038269,0.8195641040802002,0.9824430346488953,0.05236344784498215,0.779275119304657,0.5248826146125793,0.9964286088943481,0.0015399528201669455
0.8993119597434998,0.984535813331604,0.044992122799158096,0.8162720799446106,0.5853039622306824,0.9978781938552856,0.8300354480743408,0.9825045466423035,0.05153817683458328,0.7640891075134277,0.5474178194999695,0.9962563514709473,0.0007068853592500091
0.8988888263702393,0.9849952459335327,0.043412625789642334,0.8213656544685364,0.6003668308258057,0.998081624507904,0.8225323557853699,0.982645571231842,0.051469843834638596,0.7704194188117981,0.5461658835411072,0.9963198304176331,0.00018135455320589244
0.9099871516227722,0.9851569533348083,0.042666178196668625,0.824673593044281,0.6038788557052612,0.9982168674468994,0.8418929576873779,0.9827337861061096,0.050933800637722015,0.7669693231582642,0.5552425384521484,0.9964829683303833,1.0024168659583665e-06
0.9082323312759399,0.9851797223091125,0.042529959231615067,0.8242137432098389,0.6054397821426392,0.9982657432556152,0.8419083952903748,0.9827865958213806,0.05092480033636093,0.7687310576438904,0.5555555820465088,0.9964467287063599,1.0024168659583665e-06
0.9061101078987122,0.9852151870727539,0.04261939972639084,0.8243744969367981,0.6068446040153503,0.998242974281311,0.8420746326446533,0.9827864766120911,0.0509411059319973,0.7684984803199768,0.5558685660362244,0.9964739084243774,1.0024168659583665e-06
